Index,Amplitude
1639,-1594312461
1640,-1492109863
1641,-1382909998
1642,-1267224961
1643,-1145597258
1644,-1018597263
1645,-886820545
1646,-750885072
1647,-611428314
1648,-469104257
1649,-324580330
1650,-178534279
1651,-31650990
1652,115380726
1653,261871363
1654,407133952
1655,550487281
1656,691259094
1657,828789240
1658,962432769
1659,1091562958
1660,1215574250
1661,1333885093
1662,1445940667
1663,1551215485
1664,1649215860
1665,1739482218
1666,1821591255
1667,1895157919
1668,1959837217
1669,2015325837
1670,2061363563
1671,2097734500
1672,2124268088
1673,2140839896
1674,2147372211
1675,2143834399
1676,2130243052
1677,2106661904
1678,2073201542
1679,2030018877
1680,1977316416
1681,1915341306
1682,1844384182
1683,1764777796
1684,1676895465
1685,1581149313
1686,1477988343
1687,1367896330
1688,1251389552
1689,1129014368
1690,1001344658
1691,868979130
1692,732538515
1693,592662653
1694,450007492
1695,305242015
1696,159045103
1697,12102347
1698,-134897162
1699,-281264071
1700,-426311988
1701,-569360710
1702,-709739409
1703,-846789777
1704,-979869114
1705,-1108353344
1706,-1231639938
1707,-1349150742
1708,-1460334689
1709,-1564670379
1710,-1661668530
1711,-1750874267
1712,-1831869258
1713,-1904273678
1714,-1967747985
1715,-2021994515
1716,-2066758878
1717,-2101831152
1718,-2127046865
1719,-2142287766
1720,-2147482385
1721,-2142606361
1722,-2127682559
1723,-2102780965
1724,-2068018356
1725,-2023557751
1726,-1969607649
1727,-1906421049
1728,-1834294266
1729,-1753565539
1730,-1664613446
1731,-1567855129
1732,-1463744337
1733,-1352769300
1734,-1235450435
1735,-1112337912
1736,-984009067
1737,-851065700
1738,-714131251
1739,-573847875
1740,-430873433
1741,-285878404
1742,-139542746
1743,7447298
1744,154402419
1745,300633469
1746,445454694
1747,588186954
1748,728160905
1749,864720137
1750,997224254
1751,1125051876
1752,1247603555
1753,1364304582
1754,1474607687
1755,1577995603
1756,1673983490
1757,1762121213
1758,1841995447
1759,1913231623
1760,1975495677
1761,2028495622
1762,2071982913
1763,2105753616
1764,2129649364
1765,2143558096
1766,2147414589
1767,2141200755
1768,2124945736
1769,2098725760
1770,2062663785
1771,2016928925
1772,1961735653
1773,1897342800
1774,1824052335
1775,1742207957
1776,1652193474
1777,1554431010
1778,1449379025
1779,1337530160
1780,1219408932
1781,1095569272
1782,966591927
1783,833081738
1784,695664803
1785,554985540
1786,411703665
1787,266491102
1788,120028825
1789,-26996327
1790,-173894880
1791,-319977952
1792,-464560483
1793,-606964452
1794,-746522055
1795,-882578834
1796,-1014496749
1797,-1141657171
1798,-1263463777
1799,-1379345356
1800,-1488758479
1801,-1591190052
1802,-1686159721
1803,-1773222125
1804,-1851968983
1805,-1922031011
1806,-1983079653
1807,-2034828620
1808,-2077035234
1809,-2109501568
1810,-2132075371
1811,-2144650781
1812,-2147168827
1813,-2139617700
1814,-2122032811
1815,-2094496625
1816,-2057138273
1817,-2010132948
1818,-1953701081
1819,-1888107310
1820,-1813659238
1821,-1730705991
1822,-1639636577
1823,-1540878070
1824,-1434893597
1825,-1322180173
1826,-1203266371
1827,-1078709838
